date,month,hour,scc_pm,scc_ws,scc_wd2,iors_pm,iors_wd2,iors_ws,sma_se_pm,sma_se_o3,sma_se_no2,sma_se_co,sma_se_so2,sma_sw_pm,sma_sw_o3,sma_sw_no2,sma_sw_co,sma_sw_so2,sma_ne_pm,sma_ne_o3,sma_ne_no2,sma_ne_co,sma_ne_so2,sma_nw_pm,sma_nw_o3,sma_nw_no2,sma_nw_co,sma_nw_so2,sma_c_pm,sma_c_o3,sma_c_no2,sma_c_co,sma_c_so2,sma_c_pm_12aft
2015-05-11 4:00,0.363636364,0.130434783,0.07642547,0.245002356,0.571428571,0.076696165,0.428571429,0.22945571,0.147840532,0.097104946,0.334170854,0.206349206,0.188405797,0.099518459,0.046635576,0.44452398,0.254098361,0.263888889,0.165226782,0.088386434,0.366096866,0.221238938,0.168949772,0.135857461,0.066252588,0.463636364,0.16,0.269230769,0.141843972,0.032921811,0.495016611,0.160714286,0.278350515,28
2015-05-11 6:00,0.363636364,0.217391304,0.05286702,0.303560611,0.571428571,0.008849558,0.428571429,0.213669513,0.119601329,0.145958987,0.188442211,0.142857143,0.115942029,0.132423756,0.131578947,0.239799571,0.180327869,0.1875,0.152267819,0.113052415,0.254985755,0.17699115,0.095890411,0.153674833,0.144927536,0.245454545,0.1,0.134615385,0.165484634,0.086419753,0.318936877,0.125,0.257731959,21.33333333
2015-05-11 7:00,0.363636364,0.260869565,0.07683068,0.294137444,0.571428571,0.063421829,0.428571429,0.272589826,0.104651163,0.118817853,0.231155779,0.126984127,0.130434783,0.120385233,0.120586276,0.265569077,0.155737705,0.145833333,0.117710583,0.110996917,0.260683761,0.168141593,0.105022831,0.135857461,0.138716356,0.245454545,0.08,0.115384615,0.139479905,0.082304527,0.315614618,0.089285714,0.216494845,24
2015-05-11 8:00,0.363636364,0.304347826,0.100332851,0.24971394,0.571428571,0.007374631,0.571428571,0.26280683,0.098006645,0.129674306,0.243718593,0.142857143,0.188405797,0.1035313,0.136575616,0.255547602,0.147540984,0.159722222,0.112311015,0.135662898,0.230769231,0.132743363,0.123287671,0.115812918,0.115942029,0.3,0.08,0.134615385,0.125295508,0.074074074,0.352159468,0.107142857,0.216494845,26
2015-05-11 9:00,0.363636364,0.347826087,0.088277858,0.308945278,0.571428571,0.03539823,0.571428571,0.290599431,0.096345515,0.17490953,0.206030151,0.158730159,0.173913043,0.105939005,0.133577615,0.27845383,0.139344262,0.159722222,0.103311735,0.147995889,0.227207977,0.168141593,0.138508371,0.08908686,0.120082816,0.284848485,0.06,0.153846154,0.125295508,0.098765432,0.332225914,0.125,0.237113402,18
2015-05-11 10:00,0.363636364,0.391304348,0.080578871,0.335868614,0.571428571,0.033923304,0.571428571,0.314167556,0.117940199,0.20747889,0.173366834,0.142857143,0.173913043,0.113162119,0.170552965,0.244094488,0.139344262,0.159722222,0.098272138,0.18379582,0.202279202,0.166666667,0.170471842,0.106904232,0.130434783,0.296969697,0.14,0.153846154,0.141843972,0.113168724,0.338870432,0.160714286,0.257731959,13.66666667
2015-05-11 11:00,0.363636364,0.434782609,0.058596237,0.359426533,0.428571429,0.029498525,0.571428571,0.383537887,0.111295681,0.225572979,0.170854271,0.158730159,0.15942029,0.121990369,0.204530313,0.225483178,0.139344262,0.173611111,0.102591793,0.208975677,0.187321937,0.166666667,0.170471842,0.129175947,0.15942029,0.3,0.16,0.173076923,0.179669031,0.154320988,0.305647841,0.142857143,0.257731959,7.666666667
2015-05-11 12:00,0.363636364,0.47826087,0.097091172,0.359426533,0.428571429,0.028023599,0.571428571,0.394654927,0.141196013,0.259951749,0.168341709,0.158730159,0.188405797,0.138844302,0.231512325,0.236936292,0.155737705,0.180555556,0.12724982,0.236553614,0.206267806,0.16460177,0.159817352,0.13363029,0.192546584,0.315151515,0.12,0.173076923,0.191489362,0.191358025,0.302325581,0.142857143,0.257731959,7.666666667
2015-05-11 13:00,0.363636364,0.52173913,0.187452967,0.395773036,0.428571429,0.017699115,0.571428571,0.390875133,0.166112957,0.276236429,0.173366834,0.158730159,0.173913043,0.144462279,0.284477015,0.199713672,0.139344262,0.166666667,0.192764579,0.247344981,0.212250712,0.17699115,0.149162861,0.16481069,0.223602484,0.284848485,0.12,0.173076923,0.205673759,0.203703704,0.312292359,0.160714286,0.278350515,4
2015-05-11 14:00,0.363636364,0.565217391,0.204775687,0.397792286,0.428571429,0.014749263,0.714285714,0.41488794,0.131229236,0.314234017,0.150753769,0.142857143,0.15942029,0.138041734,0.338441039,0.163922691,0.147540984,0.145833333,0.149298056,0.278520041,0.17037037,0.152212389,0.159817352,0.158129176,0.260869565,0.239393939,0.12,0.153846154,0.21749409,0.25308642,0.265780731,0.125,0.237113402,3.5
2015-05-11 15:00,0.363636364,0.608695652,0.261403763,0.463754459,0.428571429,0.005899705,0.571428571,0.443125222,0.134551495,0.341375151,0.14321608,0.142857143,0.130434783,0.127608347,0.387408394,0.12956335,0.114754098,0.145833333,0.12661987,0.314491264,0.15042735,0.127433628,0.17260274,0.146993318,0.298136646,0.196969697,0.1,0.134615385,0.184397163,0.281893004,0.245847176,0.107142857,0.237113402,7.666666667
2015-05-11 16:00,0.363636364,0.652173913,0.238002894,0.46981221,0.428571429,0.01179941,0.571428571,0.355745286,0.142857143,0.341375151,0.153266332,0.095238095,0.15942029,0.127474585,0.368421053,0.139584825,0.12295082,0.145833333,0.172354212,0.330935252,0.155270655,0.14159292,0.168949772,0.14922049,0.291925466,0.187878788,0.08,0.115384615,0.191489362,0.271604938,0.280730897,0.116071429,0.18556701,7.333333333
2015-05-11 17:00,0.363636364,0.695652174,0.190795948,0.597024971,0.428571429,0.016224189,0.714285714,0.506270011,0.137873754,0.312424608,0.175879397,0.142857143,0.144927536,0.11623863,0.323451033,0.172512527,0.147540984,0.166666667,0.1587473,0.301130524,0.180911681,0.150442478,0.141552511,0.153674833,0.285714286,0.187878788,0.08,0.115384615,0.186761229,0.234567901,0.305647841,0.125,0.195876289,5.666666667
2015-05-11 18:00,0.363636364,0.739130435,0.144298119,0.773372821,0.571428571,0.010324484,0.714285714,0.507826396,0.11627907,0.312424608,0.180904523,0.126984127,0.173913043,0.107811664,0.328447702,0.169649248,0.139344262,0.145833333,0.128509719,0.300102775,0.188034188,0.14159292,0.150684932,0.122494432,0.285714286,0.2,0.1,0.134615385,0.144208038,0.238683128,0.302325581,0.125,0.237113402,6
2015-05-11 19:00,0.363636364,0.782608696,0.084509407,0.621255973,0.571428571,0.010324484,0.714285714,0.486481679,0.144518272,0.306996381,0.158291457,0.126984127,0.15942029,0.137239165,0.314457029,0.14817466,0.131147541,0.138888889,0.149928006,0.288797533,0.173789174,0.150442478,0.141552511,0.146993318,0.281573499,0.163636364,0.08,0.134615385,0.163120567,0.269547325,0.209302326,0.107142857,0.216494845,6.333333333
2015-05-11 22:00,0.363636364,0.913043478,0.036005789,0.488658545,0.571428571,0.020648968,1,0.284373888,0.049833887,0.234620024,0.120603015,0.095238095,0.101449275,0.062867844,0.220519654,0.139584825,0.106557377,0.097222222,0.104571634,0.205549846,0.162393162,0.14159292,0.086757991,0.091314031,0.198757764,0.142424242,0.1,0.057692308,0.089834515,0.16872428,0.222591362,0.107142857,0.154639175,14.66666667
2015-05-11 23:00,0.363636364,0.956521739,0.045494452,0.491350878,0.714285714,0.01179941,1,0.323728211,0.026578073,0.209288299,0.130653266,0.095238095,0.101449275,0.046950241,0.207528314,0.132426628,0.073770492,0.111111111,0.049136069,0.190133607,0.152421652,0.123893805,0.086757991,0.06013363,0.175983437,0.151515152,0.06,0.057692308,0.047281324,0.141975309,0.239202658,0.107142857,0.175257732,18.66666667
2015-05-12 0:00,0.363636364,1,0.051667149,0.653563976,0.857142857,0.007374631,0,0.360859125,0.023255814,0.212907117,0.09798995,0.095238095,0.101449275,0.031500803,0.217521652,0.099498926,0.081967213,0.125,0.026457883,0.191161357,0.123931624,0.132743363,0.059360731,0.046770601,0.169772257,0.160606061,0.04,0.057692308,0.047281324,0.148148148,0.189368771,0.071428571,0.154639175,17
2015-05-12 1:00,0.363636364,0,0.06341534,0.714141482,1,0.005899705,0,0.321060121,0.03765227,0.229191797,0.055276382,0.095238095,0.086956522,0.014178705,0.216522318,0.063707946,0.081967213,0.125,0.037796976,0.193216855,0.092592593,0.132743363,0.077625571,0.035634744,0.173913043,0.118181818,0.1,0.076923077,0.021276596,0.160493827,0.142857143,0.089285714,0.154639175,24
